Source_Description,Source_GCAS,Target_GCAS,Washout_Type
H&S AHF 2IN1 ,21412529,21433480,WASH
H&S SB ,21422081,21433480,WASH
H&S SB 2IN1 Maverick,91043645,21433480,WASH
H&S CM Maverick,90947730,21433480,X
H&S CM 2IN1 ,21422088,21433480,X
H&S Active Protect 2in1 Maverick,91005113,21433480,X
H&S LF Maverick,90966400,21433480,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21433480,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21433480,WASH
H&S Neem Maverick,91305780,21433480,WASH
H&S Daily Clean,21470269,21433480,X
 H&S Neem small sachet ,21448509,21433480,WASH
"H&S Daily Cool 
",21453170,21433480,X
"H&S Daily Smooth
",21470270,21433480,X
H&S Charcoal Deep Clean,21453169,21433480,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21433480,X
Pantene Hair Science Luscious Thick shampoo,21309188,21433480,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21433480,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21433480,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21433480,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21433480,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21433484,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21433484,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21433484,X
H&S SS 2IN1 ,21432817,21433484,X
H&S SS ,21422079,21433484,X
H&S AHF  Maverick,21417344,21433484,WASH
H&S AHF 2IN1 ,21412529,21433484,WASH
H&S SB ,21422081,21433484,X
H&S SB 2IN1 Maverick,91043645,21433484,X
H&S CM Maverick,90947730,21433484,X
H&S CM 2IN1 ,21422088,21433484,X
H&S Active Protect 2in1 Maverick,91005113,21433484,X
H&S LF Maverick,90966400,21433484,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21433484,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21433484,X
H&S Neem Maverick,91305780,21433484,WASH
H&S Daily Clean,21470269,21433484,X
 H&S Neem small sachet ,21448509,21433484,WASH
"H&S Daily Cool 
",21453170,21433484,X
"H&S Daily Smooth
",21470270,21433484,X
H&S Charcoal Deep Clean,21453169,21433484,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21433484,X
Pantene Hair Science Luscious Thick shampoo,21309188,21433484,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21433484,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21433484,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21433484,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21433484,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,91305780,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,91305780,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,91305780,X
H&S SS 2IN1 ,21432817,91305780,X
H&S SS ,21422079,91305780,X
H&S AHF  Maverick,21417344,91305780,WASH
H&S AHF 2IN1 ,21412529,91305780,WASH
H&S SB ,21422081,91305780,X
H&S SB 2IN1 Maverick,91043645,91305780,X
H&S CM Maverick,90947730,91305780,X
H&S CM 2IN1 ,21422088,91305780,X
H&S Active Protect 2in1 Maverick,91005113,91305780,X
H&S LF Maverick,90966400,91305780,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,91305780,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,91305780,X
